t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,8160,8160,11,10,0
5.003,15508,15508,11,10,0
10.004,17400,17400,11,9,0
15.006,18972,18972,11,9,0
20.008,20148,20148,11,9,0
25.010,21276,21276,11,9,0
30.012,21964,21964,11,9,0
35.014,22712,22712,11,9,0
40.015,23124,23124,11,9,0
45.017,23380,23380,11,9,0
50.019,23908,23908,11,9,0
55.020,23976,23976,11,9,0
60.001,24708,24708,11,9,0
