t_secs,rss_kb,vmhwm_kb,fds,threads,quic_modeb_connections,quic_modeb_streams_active,quic_modeb_datagrams_dropped_total,panic_total
1815.336,17944,17944,11,9,0,4,0,0
1830.338,17944,17944,11,9,0,4,0,0
1845.340,17944,17944,11,9,0,4,0,0
1860.341,17944,17944,11,9,0,4,0,0
1875.343,17944,17944,11,9,0,4,0,0
1890.344,17944,17944,11,9,0,4,0,0
1905.347,17944,17944,11,9,0,4,0,0
1920.350,17944,17944,11,9,0,4,0,0
1935.351,17944,17944,11,9,0,4,0,0
1950.352,17944,17944,11,9,0,4,0,0
1965.354,17944,17944,11,9,0,4,0,0
1980.357,17944,17944,11,9,0,4,0,0
1995.363,17944,17944,11,9,0,4,0,0
2010.365,17944,17944,11,9,0,4,0,0
2025.366,17944,17944,11,9,0,4,0,0
2040.368,17944,17944,11,9,0,4,0,0
2055.375,17944,17944,11,9,0,4,0,0
2070.381,17944,17944,11,9,0,4,0,0
2085.383,17944,17944,11,9,0,4,0,0
2100.385,17944,17944,11,9,0,4,0,0
2115.387,17944,17944,11,9,0,4,0,0
2130.396,17944,17944,11,9,0,4,0,0
2145.397,17944,17944,11,9,0,4,0,0
2160.398,17944,17944,11,9,0,4,0,0
2175.400,17944,17944,11,9,0,4,0,0
2190.401,17944,17944,11,9,0,4,0,0
2205.404,17944,17944,11,9,0,4,0,0
2220.407,17944,17944,11,9,0,4,0,0
2235.412,17944,17944,11,9,0,4,0,0
2250.416,17944,17944,11,9,0,4,0,0
2265.418,17944,17944,11,9,0,4,0,0
2280.422,17944,17944,11,9,0,4,0,0
2295.424,17944,17944,11,9,0,4,0,0
2310.428,17944,17944,11,9,0,4,0,0
2325.430,17944,17944,11,9,0,4,0,0
2340.431,17944,17944,11,9,0,4,0,0
2355.433,17944,17944,11,9,0,4,0,0
2370.434,17944,17944,11,9,0,4,0,0
2385.435,17944,17944,11,9,0,4,0,0
2400.439,17944,17944,11,9,0,4,0,0
2415.441,17944,17944,11,9,0,4,0,0
2430.442,17944,17944,11,9,0,4,0,0
2445.444,17944,17944,11,9,0,4,0,0
2460.445,17944,17944,11,9,0,4,0,0
2475.448,17944,17944,11,9,0,4,0,0
2490.449,17944,17944,11,9,0,4,0,0
2505.451,17944,17944,11,9,0,4,0,0
2520.455,17944,17944,11,9,0,4,0,0
2535.456,17944,17944,11,9,0,4,0,0
2550.459,17944,17944,11,9,0,4,0,0
2565.460,17944,17944,11,9,0,4,0,0
2580.462,17944,17944,11,9,0,4,0,0
2595.467,17944,17944,11,9,0,4,0,0
2610.470,17944,17944,11,9,0,4,0,0
2625.471,17944,17944,11,9,0,4,0,0
2640.472,17944,17944,11,9,0,4,0,0
2655.474,17944,17944,11,9,0,4,0,0
2670.476,17944,17944,11,9,0,4,0,0
2685.478,17944,17944,11,9,0,4,0,0
2700.480,17944,17944,11,9,0,4,0,0
2715.487,17944,17944,11,9,0,4,0,0
