t_secs,rss_kb,vmhwm_kb,fds,threads,quic_passthrough_flows,quic_passthrough_flows_evicted_total,panic_total
3451.998,292588,292588,1357,9,2696,374581,0
3482.027,292456,292456,1455,9,2885,377775,0
3512.049,296388,296388,1631,9,3241,381267,0
3542.067,296492,296492,1359,9,2698,384877,0
3572.087,297324,297324,1252,9,2486,388081,0
3602.096,296584,296756,1202,9,2380,391019,0
3632.107,296576,296756,1415,9,2807,393960,0
3662.122,296560,296832,1359,9,2701,397157,0
3692.146,296548,296832,1272,9,2519,400493,0
3722.160,296020,296832,1377,9,2731,403872,0
3752.185,297596,297596,1209,9,2393,407165,0
3782.197,294920,297220,1312,9,2603,410312,0
3812.212,294920,297220,1257,9,2493,413556,0
3842.226,294920,297220,1478,9,2935,416766,0
3872.255,294920,297220,1450,9,2876,420190,0
3902.267,298516,298516,1585,9,3150,423672,0
3932.282,301524,301524,1701,9,3381,427483,0
3962.308,300984,303112,1256,9,2491,431248,0
3992.325,301824,303112,1325,9,2630,434402,0
4022.347,300992,303112,1618,9,3215,437708,0
4052.367,300992,303112,1264,9,2505,441507,0
4082.382,308380,308380,1308,9,2595,445127,0
4112.399,307692,307980,1149,9,2277,448839,0
4142.414,306724,307980,1068,9,2115,451902,0
4172.427,306340,307980,1095,9,2166,455157,0
4202.447,306340,307980,1104,9,2187,458282,0
4232.461,306340,307980,1161,9,2298,461426,0
4262.470,303460,307980,1029,9,2033,464665,0
4292.477,303460,307980,1078,9,2136,467703,0
4322.489,303460,307980,1171,9,2321,470855,0
4352.512,303460,307980,1115,9,2207,474157,0
4382.528,303460,307980,1023,9,2028,477190,0
4412.544,303460,307980,1103,9,2182,480394,0
4442.563,296660,307980,965,9,1907,483670,0
4472.581,298496,307980,1163,9,2302,486926,0
4502.595,298496,307980,1077,9,2131,490182,0
4532.611,298000,307980,1083,9,2141,493381,0
4562.619,297924,307980,1237,9,2454,496665,0
4592.640,297924,307980,1252,9,2479,500170,0
4622.669,297924,307980,1144,9,2263,503422,0
4652.684,301052,307980,1369,9,2719,506635,0
4682.696,298956,307980,1202,9,2382,510343,0
4712.711,298764,307980,1069,9,2115,513766,0
4742.735,295576,307980,1054,9,2087,516720,0
4772.767,294988,307980,1207,9,2390,520098,0
4802.782,294896,307980,1082,9,2144,523343,0
4832.796,294896,307980,1083,9,2143,526329,0
4862.817,294896,307980,1056,9,2090,529429,0
4892.841,294896,307980,1195,9,2367,532376,0
4922.872,298264,307980,1468,9,2913,535703,0
4952.887,300092,307980,1135,9,2246,539290,0
4982.907,304616,307980,1099,9,2177,542829,0
5012.920,303800,307980,994,9,1965,546114,0
5042.941,302940,307980,1102,9,2178,549432,0
5072.956,300644,307980,1135,9,2245,552571,0
5102.973,300292,307980,1163,9,2303,555638,0
5132.993,299232,307980,1258,9,2492,559023,0
5163.001,296720,307980,1056,9,2088,562459,0
5193.013,296720,307980,1122,9,2223,565705,0
5223.035,296720,307980,1128,9,2235,569268,0
5253.069,296720,307980,1333,9,2645,572595,0
5283.080,296720,307980,1087,9,2150,575949,0
5313.085,295608,307980,1217,9,2413,579204,0
5343.107,297780,307980,1206,9,2391,582375,0
5373.122,296900,307980,1234,9,2443,585699,0
5403.138,297832,307980,1285,9,2545,589130,0
5433.155,299064,307980,1116,9,2212,592641,0
5463.164,299064,307980,1038,9,2051,595808,0
5493.170,297108,307980,1124,9,2224,598849,0
5523.189,297104,307980,1307,9,2589,601965,0
5553.221,294896,307980,1143,9,2262,605265,0
5583.244,297916,307980,1218,9,2412,608478,0
5613.264,297912,307980,1180,9,2335,611776,0
5643.280,298444,307980,1186,9,2349,615060,0
5673.304,300436,307980,1422,9,2823,618532,0
5703.319,301916,307980,1122,9,2223,622224,0
5733.352,303528,307980,1423,9,2826,625579,0
5763.373,307120,307980,1133,9,2247,629204,0
5793.377,301752,307980,1014,9,2006,632326,0
5823.394,294896,307980,1267,9,2510,635410,0
5853.403,294896,307980,1140,9,2257,638670,0
5883.419,296752,307980,1287,9,2552,642040,0
5913.425,298840,307980,1279,9,2533,645310,0
5943.448,299236,307980,1268,9,2515,648551,0
5973.468,298612,307980,1245,9,2467,651751,0
6003.476,301368,307980,1261,9,2499,655043,0
6033.489,299280,307980,1222,9,2418,658269,0
6063.512,299268,307980,1171,9,2318,661508,0
6093.523,299988,307980,1388,9,2755,664745,0
6123.550,305300,307980,1332,9,2641,668307,0
6153.577,302092,307980,1259,9,2497,671803,0
6183.592,301620,307980,1228,9,2435,674922,0
6213.604,301616,307980,1196,9,2372,678035,0
6243.620,301616,307980,1327,9,2629,681219,0
6273.635,299716,307980,1318,9,2612,684477,0
6303.650,299716,307980,1278,9,2532,687690,0
6333.671,300408,307980,1085,9,2149,691122,0
6363.685,300276,307980,1270,9,2519,694111,0
6393.698,303740,307980,1546,9,3071,697642,0
6423.712,303044,307980,1302,9,2587,701250,0
6453.734,303040,307980,1265,9,2510,704424,0
6483.750,299716,307980,1324,9,2624,707880,0
6513.764,299716,307980,1268,9,2517,711239,0
6543.790,299716,307980,1230,9,2441,714450,0
6573.822,299716,307980,1306,9,2591,717781,0
6603.848,299716,307980,1445,9,2869,721180,0
6633.868,296696,307980,1172,9,2323,724733,0
6663.886,296696,307980,1224,9,2424,727827,0
6693.902,296696,307980,1300,9,2579,731161,0
6723.914,296696,307980,1307,9,2593,734532,0
6753.932,296696,307980,1170,9,2320,737907,0
6783.967,291780,307980,1101,9,2181,740891,0
6813.980,291780,307980,1373,9,2723,743869,0
6843.999,298868,307980,1491,9,2959,747337,0
6874.020,298604,307980,1366,9,2714,751062,0
6904.038,294828,307980,1384,9,2745,754525,0
6934.054,294828,307980,1243,9,2466,757801,0
6964.069,292680,307980,1490,9,2959,760930,0
6994.089,293108,307980,1201,9,2385,764587,0
7024.110,293920,307980,1396,9,2768,767683,0
7054.137,291640,307980,1225,9,2426,771110,0
7084.161,291316,307980,1111,9,2199,774205,0
7114.171,295608,307980,1289,9,2557,777254,0
7144.199,292136,307980,1400,9,2779,780431,0
7174.215,291808,307980,1367,9,2714,784127,0
7204.232,291596,307980,1293,9,2563,787460,0
7234.247,292604,307980,1298,9,2574,790773,0
7264.260,295440,307980,1254,9,2486,794018,0
7294.285,292444,307980,1287,9,2549,797081,0
7324.308,292444,307980,1321,9,2617,800104,0
7354.337,292440,307980,1271,9,2523,803371,0
7384.356,292188,307980,1401,9,2780,806531,0
7414.374,290880,307980,1370,9,2719,809962,0
7444.389,290880,307980,1231,9,2440,813413,0
7474.401,290876,307980,1375,9,2729,816684,0
7504.428,291912,307980,1367,9,2708,819782,0
7534.443,291904,307980,1261,9,2498,823169,0
7564.451,291500,307980,1514,9,3007,826341,0
7594.476,291492,307980,1150,9,2279,829760,0
7624.488,291492,307980,1281,9,2539,832762,0
7654.497,291384,307980,1541,9,3058,836116,0
7684.526,293436,307980,1392,9,2763,839934,0
7714.552,295828,307980,1264,9,2509,843230,0
7744.560,292964,307980,1284,9,2547,846512,0
7774.573,289980,307980,1398,9,2776,849727,0
7804.592,289980,307980,1386,9,2748,853149,0
7834.604,289980,307980,1354,9,2688,856455,0
7864.615,300716,307980,1534,9,3046,859955,0
7894.626,301428,307980,1307,9,2591,863265,0
7924.646,300780,307980,1474,9,2927,866517,0
7954.660,300444,307980,1592,9,3163,870165,0
7984.678,302440,307980,1453,9,2882,873741,0
8014.688,302852,307980,1364,9,2707,877099,0
8044.704,303788,307980,1270,9,2516,880412,0
8074.731,298008,307980,1600,9,3177,883958,0
8104.747,295096,307980,1369,9,2714,887501,0
8134.773,295096,307980,1342,9,2661,890793,0
8164.779,297336,307980,1409,9,2796,894015,0
8194.788,299244,307980,1450,9,2879,897428,0
8224.807,294948,307980,1426,9,2830,900675,0
8254.814,294584,307980,1423,9,2823,903906,0
8284.822,292212,307980,1280,9,2539,907245,0
8314.847,295428,307980,1307,9,2593,910262,0
8344.873,294164,307980,1197,9,2369,913819,0
8374.884,292852,307980,1219,9,2412,917117,0
8404.891,294740,307980,1026,9,2032,920705,0
8434.900,294728,307980,1056,9,2089,923687,0
8464.922,294728,307980,1033,9,2043,926810,0
8494.933,294984,307980,1077,9,2133,929941,0
8524.951,289980,307980,1209,9,2394,933155,0
8554.990,289980,307980,962,9,1901,936479,0
8585.005,289980,307980,1093,9,2165,939398,0
8615.018,289980,307980,950,9,1874,942447,0
8645.032,289980,307980,1051,9,2079,945306,0
8675.048,289980,307980,1149,9,2274,948357,0
8705.060,289980,307980,1029,9,2038,951643,0
8735.097,289980,307980,1226,9,2428,954744,0
8765.116,289980,307980,1145,9,2266,958502,0
8795.133,289980,307980,1222,9,2420,961868,0
8825.145,289980,307980,1085,9,2149,965178,0
8855.161,289980,307980,1204,9,2387,968374,0
8885.174,289980,307980,1084,9,2143,971709,0
8915.201,289980,307980,1170,9,2317,974920,0
8945.220,289980,307980,1118,9,2213,978139,0
8975.243,291268,307980,1060,9,2098,981620,0
9005.248,289980,307980,1165,9,2310,984754,0
9035.267,290388,307980,1184,9,2345,988122,0
9065.289,289980,307980,1269,9,2514,991382,0
9095.303,294572,307980,1290,9,2559,994883,0
9125.322,294140,307980,1170,9,2320,998269,0
9155.345,294136,307980,1099,9,2179,1001555,0
9185.360,294132,307980,1067,9,2114,1004791,0
9215.377,294124,307980,1172,9,2320,1007980,0
9245.392,291812,307980,1117,9,2214,1011468,0
9275.418,291808,307980,1222,9,2424,1014542,0
9305.431,292432,307980,1239,9,2457,1018087,0
9335.445,293328,307980,1181,9,2337,1021463,0
9365.461,291800,307980,1215,9,2409,1024738,0
9395.475,295320,307980,1163,9,2305,1028227,0
9425.485,294392,307980,1110,9,2200,1031433,0
9455.491,291800,307980,1096,9,2168,1034572,0
9485.504,294040,307980,1006,9,1991,1037619,0
9515.525,293684,307980,1137,9,2251,1040732,0
9545.543,294020,307980,1113,9,2206,1043753,0
9575.571,292056,307980,1176,9,2329,1046881,0
9605.581,294016,307980,1182,9,2344,1050463,0
9635.597,291912,307980,1172,9,2323,1053787,0
9665.614,294032,307980,1145,9,2270,1057017,0
9695.630,293224,307980,1142,9,2260,1060254,0
9725.656,295340,307980,1223,9,2421,1063457,0
9755.672,295304,307980,1131,9,2241,1066718,0
9785.688,294972,307980,1306,9,2589,1069790,0
9815.710,298872,307980,1261,9,2501,1073322,0
9845.722,299268,307980,1242,9,2462,1076759,0
9875.740,299264,307980,1070,9,2117,1080160,0
9905.764,299256,307980,1080,9,2140,1083134,0
9935.784,303628,307980,1475,9,2925,1086659,0
9965.793,305164,307980,1270,9,2514,1090094,0
9995.806,304588,307980,1184,9,2347,1093490,0
10025.819,303020,307980,1137,9,2252,1096578,0
10055.837,300960,307980,1126,9,2233,1099708,0
10085.865,300956,307980,1328,9,2635,1102876,0
10115.882,302008,307980,1204,9,2386,1106488,0
10145.900,303008,307980,1111,9,2198,1110092,0
10175.904,302168,307980,1164,9,2304,1113141,0
10205.922,295976,307980,1290,9,2556,1116289,0
10235.946,296980,307980,1161,9,2298,1119495,0
10265.975,290784,307980,1111,9,2202,1122734,0
10296.000,295328,307980,1161,9,2298,1125903,0
10326.020,295136,307980,1192,9,2364,1129130,0
10356.039,297556,307980,1209,9,2398,1132565,0
10386.057,296432,307980,1390,9,2755,1135880,0
10416.074,301720,307980,1465,9,2906,1139534,0
10446.085,297468,307980,1414,9,2809,1143275,0
10476.107,299264,307980,1153,9,2284,1146810,0
10506.128,299196,307980,1233,9,2445,1149997,0
10536.144,298720,307980,1236,9,2451,1153163,0
10566.156,298512,307980,1174,9,2326,1156361,0
10596.176,298512,307980,1329,9,2638,1159351,0
10626.197,297220,307980,1237,9,2451,1162770,0
10656.212,295616,307980,1242,9,2461,1165910,0
10686.224,297732,307980,1169,9,2317,1169282,0
10716.234,298388,307980,1051,9,2082,1172546,0
10746.252,298380,307980,1113,9,2203,1175439,0
10776.264,295360,307980,1216,9,2407,1178606,0
10806.272,295344,307980,1357,9,2691,1181857,0
10836.284,295344,307980,1332,9,2644,1185367,0
10866.301,295344,307980,1219,9,2412,1188493,0
10896.325,295344,307980,1452,9,2878,1191808,0
10926.345,296796,307980,1356,9,2692,1195453,0
10956.361,297772,307980,1201,9,2377,1198800,0
10986.381,295476,307980,1246,9,2471,1202068,0
11016.399,293976,307980,1256,9,2488,1205121,0
11046.419,293976,307980,1417,9,2814,1208035,0
11076.437,295820,307980,1282,9,2543,1211513,0
11106.447,297392,307980,1191,9,2360,1214933,0
11136.464,293976,307980,1269,9,2517,1218051,0
11166.485,294832,307980,1326,9,2628,1221446,0
11196.499,294528,307980,1287,9,2553,1224872,0
11226.529,294372,307980,1188,9,2352,1227909,0
11256.538,292912,307980,1309,9,2594,1230926,0
11286.555,293176,307980,1320,9,2619,1234360,0
11316.573,292912,307980,1199,9,2377,1237934,0
11346.597,292912,307980,1188,9,2355,1241023,0
11376.616,292912,307980,1404,9,2788,1244195,0
11406.645,292912,307980,1249,9,2473,1247538,0
11436.658,292912,307980,1319,9,2617,1250725,0
11466.669,292912,307980,1496,9,2972,1254036,0
11496.680,292912,307980,1491,9,2963,1257736,0
11526.700,296356,307980,1365,9,2710,1261491,0
11556.716,294544,307980,1210,9,2401,1264567,0
11586.743,292912,307980,1316,9,2613,1267593,0
11616.755,292912,307980,1275,9,2529,1270749,0
11646.772,292912,307980,1203,9,2380,1273904,0
11676.790,295652,307980,1238,9,2455,1277072,0
11706.811,295136,307980,1552,9,3084,1280338,0
11736.829,293752,307980,1299,9,2579,1284071,0
11766.858,292912,307980,1326,9,2631,1287377,0
11796.874,292912,307980,1264,9,2505,1290483,0
11826.891,292912,307980,1171,9,2317,1293669,0
11856.911,292912,307980,1502,9,2979,1296797,0
11886.925,292912,307980,1281,9,2539,1300303,0
11916.942,297080,307980,1399,9,2778,1303592,0
11946.965,296140,307980,1270,9,2515,1306853,0
11976.976,296136,307980,1208,9,2396,1310249,0
12007.011,294168,307980,1210,9,2403,1313341,0
12037.046,294976,307980,1372,9,2724,1316351,0
12067.068,295908,307980,1581,9,3141,1319720,0
12097.089,295168,307980,1417,9,2813,1323285,0
12127.108,295168,307980,1364,9,2706,1326780,0
12157.135,295168,307980,1355,9,2686,1330199,0
12187.149,295168,307980,1432,9,2838,1333256,0
12217.178,295168,307980,1321,9,2620,1336725,0
12247.200,293392,307980,1335,9,2647,1340065,0
12277.215,293392,307980,1397,9,2773,1343148,0
12307.230,293392,307980,1256,9,2487,1346286,0
12337.250,296188,307980,1633,9,3241,1349756,0
12367.266,296152,307980,1230,9,2440,1353170,0
12397.289,296152,307980,1300,9,2579,1356140,0
12427.305,295604,307980,1518,9,3013,1359130,0
12457.321,298132,307980,1437,9,2852,1362497,0
12487.347,298512,307980,1512,9,3000,1365994,0
12517.357,298172,307980,1454,9,2376,1369720,0
12547.367,300128,307980,1417,9,2055,1373349,0
12577.382,300120,307980,956,9,1891,1376389,0
12607.389,296248,307980,1143,9,2264,1379595,0
12637.405,296236,307980,1103,9,2185,1382955,0
12667.426,296236,307980,1103,9,2186,1386328,0
12697.435,297856,307980,1118,9,2218,1389806,0
12727.455,297848,307980,1293,9,2565,1393028,0
12757.465,297756,307980,1023,9,2024,1396396,0
12787.483,296208,307980,1063,9,2101,1399586,0
12817.503,296208,307980,1065,9,2106,1402879,0
12847.520,295752,307980,972,9,1924,1405968,0
12877.547,294276,307980,1266,9,2513,1408929,0
12907.561,293176,307980,1120,9,2220,1412296,0
12937.582,293508,307980,1194,9,2367,1415672,0
12967.590,293508,307980,1197,9,2371,1419069,0
12997.598,293168,307980,1088,9,2153,1422500,0
13027.614,293124,307980,1100,9,2179,1425595,0
13057.634,292736,307980,1083,9,2142,1428692,0
13087.646,292272,307980,934,9,1847,1431754,0
13117.664,292272,307980,1124,9,2227,1434609,0
13147.680,292272,307980,1120,9,2219,1437747,0
13177.693,296292,307980,1124,9,2224,1440928,0
13207.700,292272,307980,1067,9,2110,1444056,0
13237.709,292272,307980,1032,9,2041,1447316,0
13267.732,292272,307980,1337,9,2649,1450820,0
13297.753,294896,307980,1091,9,2161,1454365,0
13327.768,295912,307980,1146,9,2266,1457606,0
13357.782,294884,307980,1243,9,2463,1461132,0
13387.816,297724,307980,1091,9,2161,1464593,0
13417.830,297724,307980,1140,9,2257,1467811,0
13447.841,300684,307980,1149,9,2279,1471227,0
13477.870,300676,307980,1110,9,2196,1474424,0
13507.896,300668,307980,1029,9,2037,1477501,0
13537.916,303292,307980,1171,9,2319,1480755,0
13567.940,303884,307980,1205,9,2392,1483963,0
13597.962,301520,307980,1288,9,2555,1487299,0
13627.985,301508,307980,1159,9,2299,1490710,0
13658.016,298572,307980,1215,9,2409,1494162,0
13688.032,298564,307980,1121,9,2220,1497352,0
13718.051,298564,307980,1220,9,2414,1500429,0
13748.060,296800,307980,1100,9,2176,1503769,0
13778.084,296796,307980,1143,9,2263,1506841,0
13808.104,296700,307980,1293,9,2565,1509976,0
13838.127,295440,307980,1142,9,2263,1513145,0
13868.152,295436,307980,1295,9,2565,1516331,0
13898.168,295888,307980,1179,9,2335,1519947,0
13928.182,297548,307980,1153,9,2282,1523147,0
13958.204,294728,307980,1072,9,2124,1526329,0
13988.224,294728,307980,1168,9,2314,1529486,0
14018.247,294724,307980,1108,9,2195,1532743,0
14048.257,294256,307980,1352,9,2684,1535801,0
14078.270,302624,307980,1370,9,2720,1539617,0
14108.284,300484,307980,1171,9,2318,1542959,0
14138.299,300416,307980,1244,9,2469,1545937,0
14168.320,301160,307980,1286,9,2555,1549199,0
14198.336,301348,307980,1399,9,2773,1552714,0
14228.364,296240,307980,1415,9,2807,1556430,0
14258.386,301684,307980,1441,9,2859,1560061,0
14288.402,301008,307980,1172,9,2321,1563599,0
14318.420,300540,307980,1230,9,2438,1566667,0
14348.429,300028,307980,1163,9,2305,1569781,0
14378.453,300028,307980,1258,9,2495,1573061,0
14400.006,300028,307980,1334,9,2644,1575569,0
