t_secs,rss_kb,vmhwm_kb,fds,threads,quic_modeb_connections,quic_modeb_streams_active,quic_modeb_datagrams_dropped_total,panic_total
3601.621,33788,36184,21,9,11,4,0,0
3631.639,33892,36184,23,9,10,1,0,0
3661.652,33220,36184,24,9,12,0,0,0
3691.659,32240,36184,21,9,10,0,0,0
3721.667,32676,36184,22,9,9,4,0,0
3751.676,34076,36184,22,9,10,4,0,0
3781.690,33772,36184,25,9,12,4,0,0
3811.711,32624,36184,24,9,11,0,0,0
3841.734,32608,36184,22,9,10,0,0,0
3871.747,32084,36184,21,9,10,4,0,0
3901.751,32916,36184,22,9,10,4,0,0
3931.762,32608,36184,19,9,8,0,0,0
3961.770,32324,36184,23,9,9,0,0,0
3991.794,32812,36184,24,9,13,0,0,0
4021.810,32540,36184,22,9,11,4,0,0
4051.821,32736,36184,21,9,9,0,0,0
4081.829,32384,36184,22,9,11,4,0,0
4111.837,32452,36184,20,9,9,4,0,0
4141.856,33348,36184,24,9,13,4,0,0
4171.876,33684,36184,22,9,10,0,0,0
4201.885,33344,36184,22,9,8,0,0,0
4231.895,32680,36184,20,9,10,4,0,0
4261.916,32156,36184,23,9,10,0,0,0
4291.938,32804,36184,21,9,10,0,0,0
4321.959,32848,36184,22,9,10,0,0,0
4351.969,32520,36184,19,9,8,0,0,0
4381.988,33804,36184,23,9,12,4,0,0
4412.007,34120,36184,20,9,9,4,0,0
4442.035,33144,36184,24,9,12,4,0,0
4472.043,33320,36184,23,9,12,0,0,0
4502.052,33160,36184,24,9,12,3,0,0
4532.061,33524,36184,23,9,11,0,0,0
4562.066,33664,36184,23,9,12,0,0,0
4592.078,33984,36184,22,9,9,0,0,0
4622.082,33264,36184,22,9,10,0,0,0
4652.108,32632,36184,23,9,12,0,0,0
4682.116,32680,36184,21,9,9,4,0,0
4712.127,32788,36184,23,9,12,0,0,0
4742.149,32828,36184,25,9,13,4,0,0
4772.164,32244,36184,20,9,9,4,0,0
4802.175,33072,36184,18,9,7,0,0,0
4832.193,33784,36184,22,9,10,4,0,0
4862.207,32700,36184,19,9,8,0,0,0
4892.214,33636,36184,21,9,9,4,0,0
4922.242,33088,36184,22,9,11,0,0,0
4952.258,33916,36184,21,9,10,4,0,0
4982.273,34940,36184,25,9,14,0,0,0
5012.287,32868,36184,23,9,9,4,0,0
5042.295,33072,36184,22,9,10,0,0,0
5072.314,32556,36184,23,9,12,0,0,0
5102.329,33760,36184,23,9,11,4,0,0
5132.341,34392,36184,24,9,13,4,0,0
5162.351,33932,36184,21,9,9,4,0,0
5192.370,34172,36184,18,9,6,0,0,0
5222.377,34280,36184,23,9,11,4,0,0
5252.387,34180,36184,26,9,13,4,0,0
5282.400,33904,36184,22,9,9,4,0,0
5312.413,34332,36184,20,9,9,0,0,0
5342.427,34932,36184,25,9,12,0,0,0
5372.441,34072,36184,20,9,9,0,0,0
5402.459,33912,36184,22,9,11,4,0,0
5432.477,34188,36184,21,9,9,0,0,0
5462.493,34104,36184,22,9,11,0,0,0
5492.507,33764,36184,20,9,9,0,0,0
5522.518,36068,36708,23,9,11,4,0,0
5552.528,34816,36708,22,9,11,2,0,0
5582.544,34416,36708,21,9,8,0,0,0
5612.556,34736,36708,21,9,10,4,0,0
5642.570,35136,36708,22,9,9,4,0,0
5672.594,35080,36708,22,9,10,0,0,0
5702.603,34472,36708,22,9,11,0,0,0
5732.614,34008,36708,22,9,11,0,0,0
5762.626,35700,36708,25,9,14,0,0,0
5792.638,34324,36708,23,9,12,4,0,0
5822.650,34704,36708,22,9,11,0,0,0
5852.665,34384,36708,22,9,10,0,0,0
5882.668,31784,36708,21,9,10,0,0,0
5912.682,32584,36708,22,9,10,0,0,0
5942.700,32024,36708,22,9,10,0,0,0
5972.725,32788,36708,20,9,7,4,0,0
6002.747,31580,36708,23,9,11,0,0,0
6032.765,31884,36708,21,9,10,4,0,0
6062.781,32108,36708,22,9,11,4,0,0
6092.795,32432,36708,20,9,9,0,0,0
6122.816,32236,36708,21,9,10,0,0,0
6152.826,31516,36708,21,9,10,0,0,0
6182.837,32292,36708,23,9,10,0,0,0
6212.859,32692,36708,24,9,12,0,0,0
6242.866,32612,36708,22,9,10,0,0,0
6272.873,31388,36708,23,9,9,0,0,0
6302.894,32024,36708,20,9,9,4,0,0
6332.901,33196,36708,24,9,10,0,0,0
6362.922,31556,36708,22,9,11,4,0,0
6392.944,31488,36708,23,9,12,0,0,0
6422.960,32836,36708,23,9,12,4,0,0
6452.978,32328,36708,22,9,11,0,0,0
6482.988,33648,36708,24,9,9,0,0,0
6513.004,32056,36708,21,9,10,2,0,0
6543.011,32328,36708,23,9,12,4,0,0
6573.030,32280,36708,23,9,12,4,0,0
6603.036,32512,36708,20,9,9,0,0,0
6633.049,32848,36708,23,9,10,0,0,0
