[eg-soak] scenario=sc4_modeb duration=7200s sample=15s scale=1 bin=/home/ubuntu/Code/eg-target/release/expressgateway
[eg-soak] gateway ready pid=363583 metrics=127.0.0.1:45245 — soaking 7200s
[sc4b_modeb_healthy] t=   480s rss= 1102.1MB fds=  21 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   495s rss= 1222.5MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   510s rss= 1335.9MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   525s rss= 1452.6MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   540s rss= 1564.5MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   555s rss= 1683.5MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   570s rss= 1820.2MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   585s rss= 1938.0MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   600s rss= 2042.2MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   615s rss= 2158.9MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   630s rss= 2276.3MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   645s rss= 2374.1MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   660s rss= 2491.5MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   675s rss= 2605.1MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   690s rss= 2732.5MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   705s rss= 2853.3MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   720s rss= 2979.4MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   735s rss= 3087.5MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   750s rss= 3198.2MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   765s rss= 3324.9MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   780s rss= 3443.9MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   795s rss= 3545.1MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   810s rss= 3661.6MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   825s rss= 3768.4MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   840s rss= 3882.6MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   855s rss= 3981.9MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   870s rss= 4079.1MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   885s rss= 4190.6MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   900s rss= 4304.7MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   915s rss= 4428.5MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   930s rss= 4555.5MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4b_modeb_healthy] t=   945s rss= 4658.8MB fds=  12 thr=  9 | quic_modeb_connections=1 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
