[eg-soak] scenario=sc2_h2h2 duration=7200s sample=15s scale=1 bin=/home/ubuntu/Code/eg-target/release/expressgateway
[eg-soak] gateway ready pid=363524 metrics=127.0.0.1:44897 — soaking 7200s
[sc2_h2h2] t=   871s rss=   28.8MB fds=  24 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=   886s rss=   29.0MB fds=  23 thr=  9 | accept_inflight=10 panic_total=0
[sc2_h2h2] t=   901s rss=   28.9MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   916s rss=   29.7MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   931s rss=   28.4MB fds=  24 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=   946s rss=   28.7MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   961s rss=   28.7MB fds=  22 thr=  9 | accept_inflight=10 panic_total=0
[sc2_h2h2] t=   976s rss=   29.2MB fds=  24 thr=  9 | accept_inflight=10 panic_total=0
[sc2_h2h2] t=   991s rss=   29.1MB fds=  24 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=  1006s rss=   29.3MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1021s rss=   29.9MB fds=  24 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=  1036s rss=   29.4MB fds=  24 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=  1051s rss=   29.2MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1066s rss=   30.3MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1081s rss=   29.6MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1096s rss=   28.9MB fds=  22 thr=  9 | accept_inflight=9 panic_total=0
[sc2_h2h2] t=  1111s rss=   28.8MB fds=  24 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=  1126s rss=   26.4MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1141s rss=   26.1MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1156s rss=   26.1MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1171s rss=   25.7MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1186s rss=   25.9MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1201s rss=   26.5MB fds=  25 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=  1216s rss=   26.8MB fds=  24 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=  1231s rss=   25.7MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=  1246s rss=   25.9MB fds=  24 thr=  9 | accept_inflight=15 panic_total=0
[sc2_h2h2] t=  1261s rss=   27.7MB fds=  22 thr=  9 | accept_inflight=10 panic_total=0
