[eg-soak] scenario=sc3_slowloris duration=7200s sample=15s scale=1 bin=/home/ubuntu/Code/eg-target/release/expressgateway
[eg-soak] gateway ready pid=363544 metrics=127.0.0.1:39311 — soaking 7200s
[sc3_slowloris] t=   871s rss=   59.1MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   886s rss=   59.5MB fds= 523 thr=  9 | accept_inflight=384 panic_total=0
[sc3_slowloris] t=   901s rss=   59.5MB fds= 531 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   916s rss=   59.5MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   931s rss=   59.6MB fds= 273 thr=  9 | accept_inflight=260 panic_total=0
[sc3_slowloris] t=   946s rss=   59.7MB fds= 278 thr=  9 | accept_inflight=137 panic_total=0
[sc3_slowloris] t=   961s rss=   59.9MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   976s rss=   59.9MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   991s rss=   60.0MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1006s rss=   60.8MB fds= 523 thr=  9 | accept_inflight=384 panic_total=0
[sc3_slowloris] t=  1021s rss=   62.0MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1036s rss=   61.9MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1051s rss=   61.8MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1066s rss=   62.2MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1081s rss=   62.9MB fds= 531 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1096s rss=   62.9MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1111s rss=   63.1MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1126s rss=   60.6MB fds= 527 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1141s rss=   62.0MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=  1156s rss=   62.0MB fds= 527 thr=  9 | accept_inflight=388 panic_total=0
