[eg-soak] scenario=sc4_modeb duration=7200s sample=15s scale=1 bin=/home/ubuntu/Code/eg-target/release/expressgateway
[eg-soak] gateway ready pid=363564 metrics=127.0.0.1:38357 — soaking 7200s
[sc4_modeb] t=   510s rss=   32.7MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   525s rss=   33.0MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   540s rss=   32.7MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   555s rss=   32.7MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   570s rss=   32.7MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   585s rss=   33.1MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   600s rss=   33.4MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   615s rss=   33.1MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   630s rss=   33.4MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   645s rss=   32.7MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   660s rss=   32.7MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   675s rss=   32.7MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   690s rss=   32.7MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   705s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   720s rss=   33.7MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   735s rss=   34.4MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   750s rss=   34.4MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   765s rss=   35.1MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   780s rss=   35.1MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   795s rss=   35.1MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   810s rss=   35.1MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   825s rss=   34.3MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   840s rss=   34.3MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   855s rss=   34.5MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   870s rss=   34.8MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   885s rss=   34.7MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   900s rss=   35.1MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   915s rss=   35.1MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   930s rss=   34.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   945s rss=   33.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   960s rss=   33.7MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   975s rss=   34.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   990s rss=   34.5MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1005s rss=   34.5MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1020s rss=   34.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1035s rss=   34.8MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1050s rss=   34.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1065s rss=   34.8MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1080s rss=   34.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1095s rss=   34.7MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=  1110s rss=   34.7MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
