[eg-soak] scenario=sc9_grpc_h3 duration=900s sample=5s scale=1 bin=/home/ubuntu/Code/eg-target/debug/expressgateway
[eg-soak] gateway ready pid=1247914 metrics=127.0.0.1:36005 — soaking 900s
[sc9_grpc_h3] t=   335s rss=   39.9MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   340s rss=   40.2MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   345s rss=   39.7MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   350s rss=   40.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   355s rss=   39.5MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   360s rss=   40.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   365s rss=   39.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   370s rss=   39.9MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   375s rss=   40.3MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   380s rss=   39.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   385s rss=   39.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   390s rss=   40.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   395s rss=   39.2MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   400s rss=   39.7MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   405s rss=   39.7MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   410s rss=   40.4MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   415s rss=   40.4MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   420s rss=   39.9MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   425s rss=   40.4MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   430s rss=   40.2MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   435s rss=   40.6MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   440s rss=   40.3MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   445s rss=   40.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   450s rss=   40.4MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   455s rss=   40.5MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   460s rss=   44.4MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   465s rss=   44.5MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   470s rss=   45.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   475s rss=   45.2MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   480s rss=   45.2MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   485s rss=   45.2MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   490s rss=   45.3MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   495s rss=   45.4MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   500s rss=   45.5MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   505s rss=   45.5MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   510s rss=   45.5MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   515s rss=   45.5MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   520s rss=   45.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   525s rss=   45.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   530s rss=   45.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   535s rss=   45.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   540s rss=   45.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   545s rss=   45.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   550s rss=   45.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   555s rss=   45.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   560s rss=   45.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   565s rss=   45.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   570s rss=   45.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   575s rss=   45.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   580s rss=   45.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   585s rss=   45.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   590s rss=   45.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   595s rss=   45.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   600s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   605s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   610s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   615s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   620s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   625s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   630s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   635s rss=   46.0MB fds=  12 thr=  9 | panic_total=0
